exp_name,epochs,num_users,frac,local_ep,local_bs,lr,model,optimizer,dataset,num_classes,iid,unequal
federated,500,100,2.0,5,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.5,5,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,1.0,5,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.0,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,1.0,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,2.0,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.5,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,1.0,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.0,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,1.0,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,2.0,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.5,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,1.0,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,1,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,5,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,20,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,1,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,20,10,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,1,50,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,5,50,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,20,50,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,1,50,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,5,50,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,20,50,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,1,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,20,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.1,1,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,5,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,20,1000,0.1,cnn,sgd,mnist,10,0,0
federated,500,100,0.1,5,50,0.05,cnn,sgd,cifar,10,1,0
federated,500,100,0.1,5,50,0.15,cnn,sgd,cifar,10,1,0
federated,500,100,0.1,5,50,0.25,cnn,sgd,cifar,10,1,0
federated,500,100,0.1,1,1000,0.05,cnn,sgd,cifar,10,1,0
federated,500,100,0.1,1,1000,0.15,cnn,sgd,cifar,10,1,0
federated,500,100,0.1,1,1000,0.25,cnn,sgd,cifar,10,1,0
baseline,500,0,0.0,0,0,0.15,cnn,sgd,cifar,10,1,0
federated,100,100,0.1,1,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,5,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,25,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,50,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,100,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,200,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,400,10,0.215,cnn,sgd,mnist,10,1,0
federated,100,100,0.1,1,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,5,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,25,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,50,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,100,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,200,10,0.1,cnn,sgd,mnist,10,0,0
federated,100,100,0.1,400,10,0.1,cnn,sgd,mnist,10,0,0
